Name,Position,SS Number,Year,Party Number,Class,Label
Adolf Hitler,Oberster Führer der Schutzstaffel,1,1934–1945,DAP: 5553 680,0.1,Oberster Führer der Schutzstaffel
Julius Schreck,First Reichsführer-SS 1925–1926 Hitler's chauffeur Later held the ranks of SS-Standartenführer and SS-Oberführer Posthumously awarded the ranks SS-Brigadeführer and SS-Ehrenführer of the SS Regiment Munich,5,Leader of the Stoßtrupp-Hitler  forerunner of the SS (1923); officially joined SS (1925),53,1.1,Reichsführer
Joseph Berchtold,Second Reichsführer-SS 1926–1927,,Co-leader of the Stoßtrupp-Hitler; forerunner of the SS (1923),750,1.1,Reichsführer
Erhard Heiden,Third Reichsführer-SS 1927–1929,,Member of the Stoßtrupp-Hitler  forerunner of the SS (1923); officially joined SS (1925),74,1.1,Reichsführer
Heinrich Himmler,Fourth Reichsführer-SS 1929–1945 Chief of German Police Minister of the Interior Chief of the replacement Army,168,2 August 1925,14303,1.1,Reichsführer
Karl Hanke,Final Reichsführer-SS1945,203013,15 February 1933,102606,1.1,Reichsführer
Kurt Daluege,Commander of the Ordnungspolizei (Orpo-Order Police),1119,1928,31981,1.2,Oberst-Gruppenführer
Sepp Dietrich,Original commander of the Leibstandarte SS Adolf Hitler (LSSAH) and later commander of the 6th SS Panzer Army,1177,5 May 1928,89015,1.2,Oberst-Gruppenführer
Paul Hausser,Commander of the II SS Panzer Corps,239795,February 1934,4158779,1.2,Oberst-Gruppenführer
Franz Xaver Schwarz,NSDAP Treasurer,38500,16 September 1931,6,1.2,Oberst-Gruppenführer
Friedrich Alpers,Staatssekretär / SS-Obergruppenführer /Staatsrat / Generalforstmeister /Major der Reserve (Luftwaffe),6427,March 1931,132812,1.3,Obergruppenführer
Max Amann,Honorary SS Member. Party leader for the Reich of the Department Press,53143,,3,1.3,Obergruppenführer
Erich von dem Bach-Zelewski,Higher SS and Police Leader of Central Russia,9831,15 February 1931,489101,1.3,Obergruppenführer
Herbert Backe,Minister of Agriculture 1944–1945,22766,1 October 1933,87882,1.3,Obergruppenführer
Gottlob Berger,Commander of the SS-Hauptamt,275991,1936,426875,1.3,Obergruppenführer
Werner Best,Reich Plenipotentiary of Denmark,23377,1931,341338,1.3,Obergruppenführer
Wilhelm Bittrich,Waffen-SS combat commander  II SS Panzerkorps,39177,1934,829700,1.3,Obergruppenführer
Ernst Wilhelm Bohle,Leader of the National Socialist German Workers' Party Foreign Organization,276915,13 September 1933,999185,1.3,Obergruppenführer
Martin Bormann,Secretary of Hitler/Party leader for the Reich in charge of the NSDAP Chancellery,555,1937,60508,1.3,Obergruppenführer
Philipp Bouhler,Head of the Action T4/Party Leader for the Reich in charge of the Hitler's Chancellery (Kanzlei des Führers),54932,20 April 1933,12,1.3,Obergruppenführer
Walter Braemer,born 7 January 1883. Involved in War Crimes in Poland; captured 2 May 1945-released October 1947; 1945 request for extradition for war crimes in Poland was refused by the British government in 1950. Died 13 June 1955,223910,1 October 1935,401232,1.3,Obergruppenführer
