N,a,m,e
Adam Grünewald
Adolf Ax
Adolf Diekmann
Adolf Eichmann
Adolf Hitler
Adolf von Bomhard
Ain-Ervin Mere
Albert Forster
Albert Widmann
Aleksander Laak
Alexander Piorkowski
Alfons Rebane
Alfred Buntru
Alfred Naujocks
Alfred Wünnenberg
Alois Brunner
Amon Göth
Anton Burger
Anton Dunckern
Anton Reinthaller
Anton Thernes
Anton Thumann
Anton von Hohberg und Buchwald
Arnold Büscher
Arnold Strippel
Arpad Wigand
Arthur Greiser
Arthur Liebehenschel
Arthur Mülverstadt
Arthur Nebe
Arthur Rödl
Arthur Seyss-Inquart
Artur Phleps
August Frank
August Heissmeyer
August Hirt
August Miete
August Schmidthuber
Benno Martin
Benno von Arent
Bernd Rosemeyer
Bernhard Krüger
Bernhard Wehner
Bodo Lafferentz
Bronislaw Kaminski
Bruno Beger
Bruno Gesche
Bruno Lohse
Bruno Müller
Bruno Streckenbach
Carl Oberg
Carl Værnet
Carltheo Zeitschel
Christian Frederik von Schalburg
Christian Peder Kryssing
Christian Wirth
Christoph Diehm
Curt von Gottberg
Célestin Lainé
Derk-Elsko Bruins
Desiderius Hampel
Detlef Nebbe
Douglas Berneville-Claye
Eberhard Herf
Edmund Veesenmayer
Eduard Deisenhofer
Eduard Krebsbach
Eduard Paul Tratz
Eduard Roschmann
Eduard Strauch
Eduard Weiter
Eduard Wirths
Eggert Reeder
Egon Zill
Emanuel Schafer
Emil Augsburg
Emil Maurice
Emil Mazuw
Emil Sembach
Enno Lolling
Erhard Heiden
Erhard Kroeger
Eric Muhsfeldt
Erich Bauer
Erich Ehrlinger
Erich Fuchs
Erich Isselhorst
Erich Kempka
Erich Lachmann
Erich Mix
Erich Naumann
Erich Neumann 
Erich Priebke
Erich Steidtmann
Erich von dem Bach-Zelewski
Erich von der Heyde
Ernst Barkmann
Ernst Biberstein
Ernst Boepple
Ernst Damzog
Ernst Hartmann 
Ernst Hermann Himmler
Ernst Holzlöhner
Ernst Kaltenbrunner
Ernst Lerch
Ernst Misselwitz
Ernst Wilhelm Bohle
Ernst Woermann
Ernst Zierke
Ernst von Weizsäcker
Ernst-Robert Grawitz
Erwin Rösener
Erwin Schulz
Eugen Dollmann
Eugène Vaulot
Ewald Lindloff
Felix Steiner
Ferdinand Brandner
Ferdinand Porsche
Ferdinand von Sammern-Frankenegg
Franz Abromeit
Franz Augsberger
Franz Breithaupt
Franz Bürkl
Franz Hayler
Franz Hoessler
Franz Josef Huber
"Franz Joseph, Prince of Hohenzollern-Emden"
Franz Konrad 
Franz Kutschera
Franz Lucas
Franz Rademacher
Franz Reichleitner
Franz Schädle
Franz Schönhuber
Franz Six
Franz Stangl
Franz Suchomel
Franz Xaver Schwarz
Fridolin Glass
Friedrich Alpers
Friedrich Boßhammer
"Friedrich Franz, Hereditary Grand Duke of Mecklenburg-Schwerin"
Friedrich Hildebrandt
Friedrich Jeckeln
Friedrich Panzinger
Friedrich Peter
Friedrich Uebelhoer
Friedrich Weber 
Friedrich-Wilhelm Bock
Friedrich-Wilhelm Krüger
Fritz Arlt
Fritz Darges
Fritz Dietrich 
Fritz Hartjenstein
Fritz Henke
Fritz Hippler
Fritz Katzmann
Fritz Kranefuss
Fritz Ritterbusch
Fritz Sauckel
Fritz Tittmann
Fritz Weitzel
Fritz Witt
Fritz Wächtler
Fritz von Scholz
Gebhard Ludwig Himmler
Georg Betz
Georg Güßregen
Georg Keppler
Georg Konrad Morgen
Georg Lörner
Georg Ritter von Hengl
George Kettmann
Gerhard Klopfer
Gottfried Graf von Bismarck-Schönhausen
Gottlieb Hering
Gottlob Berger
Gunter d'Alquen
Gustav Abb
Gustav Adolf Nosske
Gustav Adolf Scheel
Gustav Adolf von Wulffen
Gustav Lombard
Gustav Münzberger
Gustav Sorge
Gustav Wagner
Günther Pancke
Günther Schwägermann
Günther Tamaschke
Hanns Albin Rauter
Hanns-Martin Schleyer
Hans Aumeier
Hans Baur
Hans Collani
Hans Eisele 
Hans Fischböck
Hans Fleischhacker
Hans Frank
Hans Friedemann Götze
Hans Günther 
Hans Haltermann
Hans Hermann Junge
Hans Hinkel
Hans Hüttig
Hans Jüttner
Hans Kammler
Hans Lammers
Hans Latza
Hans Loritz
Hans Münch
Hans Nieland
Hans Sommer 
Hans Stark
Hans Stern 
Hans Walter Zech-Nenntwich
Hans Woellke
Hans-Adolf Prützmann
Hans-Georg von Charpentier
Harald Nugiseks
Harald Riipalu
Harold Cole
Hartmann Lauterbacher
Heinrich Andergassen
Heinrich Fehlis
Heinrich Freiherr von Stackelberg
Heinrich Harrer
Heinrich Heim
Heinrich Himmler
Heinrich Müller 
Heinrich Petersen 
Heinrich Schmidt 
Heinrich Schwarz
Heinrich Seetzen
Heinz Auerswald
Heinz Barth
Heinz Brücher
Heinz Felfe
Heinz Jost
Heinz Kessler
Heinz Linge
Heinz Macher
Heinz Reinefarth
Heinz Roch
Heinz Schubert 
Heinz-Fritz Müller
Helmut Bischoff
Helmut Kunz
Helmut Kämpfe
Helmuth Friedrichs
Hendrik Seyffardt
Henk Feldmeijer
Henri Joseph Fenet
Henri Lafont
Herbert Backe
Herbert Jankuhn
Herbert Kappler
Herbert Otto Gille
Hermann Fegelein
Hermann Florstedt
Hermann Gauch
Hermann Harm
Hermann Höfle
Hermann Höfle 
Hermann Maringgele
Hermann Michel
Hermann Muhs
Hermann Prieß
Hermann Schaper
Hermann Weiser
Hilmar Wäckerle
Hinrich Schuldt
Horst Fischer
Horst Kopkow
Horst Schumann
Hubert Klausner
Hugo Blaschke
Hugo Jury
Hugo Kraas
Hugo von Abercron
Humbert Achamer-Pifrader
Hyacinth Graf Strachwitz von Groß-Zauche und Camminetz
Irmfried Eberl
Jakob Grimminger
Jakob Sporrenberg
Joachim Albrecht Eggeling
Joachim Boosfeld
Joachim Hamann
Joachim Peiper
Joachim Rumohr
Joachim von Ribbentrop
Johann Niemann
Johann Paul Kremer
Johann Pauls
Johann Rattenhuber
Johann Schwarzhuber
Johann von Leers
Johannes Schmidt 
Josef Albert Meisinger
Josef Altstötter
Josef Bühler
Josef Bürckel
Josef Fitzthum
Josef Hirtreiter
Josef Kieffer
Josef Kramer
Josef Mengele
Josef Oberhauser
Josef Oberhauser 
Josef Spacil
Joseph Berchtold
Joseph Darnand
"Josias, Hereditary Prince of Waldeck and Pyrmont"
Julian Scherner
Julius Dettmann
Julius Schaub
Julius Schreck
Jürgen Stroop
Jürgen Wagner
Karl Brandt
Karl Brunner 
Karl Bömelburg
Karl Chmielewski
Karl Diebitsch
Karl Eberhard Schöngarth
Karl Fiehler
Karl Freiherr Michel von Tüßling
Karl Frenzel
Karl Fritzsch
Karl Gebhardt
Karl Genzken
Karl Gesele
Karl Gutenberger
Karl Hanke
Karl Hass
Karl Hermann Frank
Karl Höfer
Karl Jäger
Karl Kloskowski
Karl Maria Wiligut
Karl Pfeffer-Wildenbruch
Karl Rahm
Karl Rasche
Karl Silberbauer
Karl Streibel
Karl Wilhelm Krause
Karl Wolff
Karl von Eberstein
Karl-Friedrich Höcker
Karl-Gustav Sauberzweig
Karl-Heinrich Brenner
Karl-Heinz Bürger
Karl-Heinz Keitel
Karl-Maria Demelhuber
Karlis Ozols
Klaus Barbie
Knud Børge Martinsen
Konrad Henlein
Konrad Meyer
Konstantin von Neurath
Kurt Bolender
Kurt Daluege
Kurt Gerstein
Kurt Gildisch
Kurt Gruber
Kurt Heissmeyer
Kurt Lischka
Kurt Meyer
Kurt Plötner
Lauri Törni
Leonardo Conti
Lorenz Hackenholt
Lothar Beutel
Ludolf Jakob von Alvensleben
Ludolf von Alvensleben
Ludwig Kepplinger
Ludwig Ruckdeschel
Ludwig Steeg
Ludwig Stumpfegger
Léon Degrelle
Martin Bormann
Martin Gottfried Weiss
Martin James Monti
Martin Kohlroser
Martin Sommer
Martin Weiss 
Matthias Kleinheisterkamp
Max Amann
Max Hansen 
Max Koegel
Max Simon
Max Teichmann
Max Wielen
Max de Crinis
Maximilian Grabner
Maximilian List
Maximilian von Herff
Michael Karkoc
Michael Lippert
Michael Wittmann
Odilo Globocnik
Oscar Hans
Oskar Dirlewanger
Oskar Gröning
Oswald Pohl
Otto Abetz
Otto Bradfisch
Otto Dietrich
Otto Förschner
Otto Hofmann
Otto Moll
Otto Ohlendorf
Otto Skorzeny
Otto Steinbrinck
Otto Steinhäusl
Otto Wächter
Otto von Bolschwing
Paul Blobel
Paul Dickopf
Paul Hausser
Paul Hennicke
Paul Moder
Paul Otto Radomski
Paul Scharfe
Perry Broad
Peter Högl
Philipp Bouhler
Philipp Schmitt
Pierre Paoli
Pieter Menten
Pio Filippani Ronconi
Prince Christoph of Hesse
Reimond Tollenaere
Reinhard Heydrich
Reinhold Hanning
Richard Baer 
Richard Glücks
Richard Hildebrandt
Richard Kaaserer
Richard Korherr
Richard Schulze-Kossens
Richard Thomalla
Richard Walther Darré
Richard Wendler
Rochus Misch
Rolf Günther
Rudolf August Oetker
Rudolf Batz
Rudolf Beckmann
Rudolf Diels
Rudolf Hess
Rudolf Höß
Rudolf Lange
Rudolf Mildner
Rudolf Neugebauer
Rudolf Querner
Rudolf von Ribbentrop
Ruediger Pipkorn
Samuel Kunz
Sepp Dietrich
Siegfried Graetschus
Siegfried Seidl
Siegfried Wolfgang Fehmer
Siert Bruins
Sigmund Rascher
Sverre Riisnæs
Sylvester Stadler
Theodor Dannecker
Theodor Eicke
Theodor Wisch
Thomas Müller 
Tscherim Soobzokov
Udo von Woyrsch
Ulrich Graf 
Ulrich Greifelt
Viktor Eberhard Gräbner
Vilis Janums
Vinzenz Kaiser
Waldemar Fegelein
Waldemar Hoven
Waldemar Kraft
Walter Braemer
Walter Buch
Walter Drexler
Walter Hauck
Walter Huppenkothen
Walter Krüger 
Walter Kutschmann
Walter Quakernack
Walter Rauff
Walter Reder
Walter Schellenberg
Walter Schieber
Walter Schimana
Walter Schmitt 
Walther Bierkamp
Werner Best
Werner Blankenburg
Werner Braune
Werner Haase
Werner Knab
Werner Lorenz
Werner Naumann
Werner Ostendorff
Wernher von Braun
Wilhelm Albert 
Wilhelm Bittrich
Wilhelm Boger
Wilhelm Friedrich Loeper
Wilhelm Fritz von Roettig
