Name
Adam Grünewald
Adolf Ax
Adolf Diekmann
Adolf Eichmann
Adolf Hitler
Adolf Maurer
Adolf von Bomhard
Ain-Ervin Mere
Albert Forster
Albert Hujar
Albert Konrad Gemmeker
Aleksander Laak
Alexander Bernhard Hans Piorkowski
Alfons Rebane
Alfred Buntru
Alfred Driemel
Alfred Franke-Gricksch
Alfred Karl Wilhelm Filbert
Alfred Naujocks
Alfred Otto
Alfred Spilker
Alfred Wünnenberg
Alois Brunner
Amon Göth
Anton Burger
Anton Dunckern
Anton Reinthaller
Anton Thernes
Anton Thumann
Anton von Hohberg und Buchwald
Arno Bernhard Huhn
Arnold Büscher
Arnold Strippel
Arpad Wigand
Arthur Frank Fuchs
Arthur Greiser
Arthur Liebehenschel
Arthur Mülverstadt
Arthur Nebe
Arthur Rödl
Arthur Seyss-Inquart
Artur Phleps
August Blei
August Frank
August Heissmeyer
August Miete
August Schiffer
August Schmidthuber
Auke Bert Pattist
Axel Holst
Baron Otto Wächter
Benno Martin
Benno von Arent
Benson Railton Metcalf Freeman
Bernard Harald Haase
Bernd Rosemeyer
Bernhard Anhalt
Bernhard Krüger
Bernhard Wehner
Bodo Lafferentz
Bronislaw Kaminski
Bruno Erich Alfred Freyberg
Bruno Gesche
Bruno Lohse
Bruno Streckenbach
Brunon Müller-Altenau
Carl Denhard
Carl Oberg
Carltheo Zeitschel
Christian Frederik von Schalburg
Christian Peder Kryssing
Christian Shnug
Christian Wirth
Christoph Diehm
Curt von Gottberg
Célestin Lainé
Danilo Novaković
Derk-Elsko Bruins
Desiderius Hampel
Detlef Nebbe
Douglas Berneville-Claye
Adolf Katz
Albert Widmann
August Hirt
Bruno Beger
Bruno Rothardt
Carl Værnet
Eduard Krebsbach
Eduard Wirths
Ernest Marcel Kah
Ernst Holzlöhner
Franz Lucas
Hans Kurt Eisle
Hans Münch
Heinrich Schmidt
Heinz Brücher
Helmut Hugo Glaser
Helmut Kunz
Herbert Grohmann
Hermann Gauch
Horst Fischer
Horst Schumann
Hugo Blaschke
Irmfried Eberl
Johann Friedrich Scheid
Johann Paul Kremer
Josef Mengele
Karl Brandt
Karl Genzken
Kurt Heissmeyer
Kurt Plötner
Leonardo Conti
Ludwig Stumpfegger
Otto Bradfisch
Otto Furrer
Richard Korherr
Richard Wendler
Rudolf Lange
Waldemar Hoven
Wilhelm Stuckart
Eberhard Herf
Edmund Veesenmayer
Eduard Deisenhofer
Eduard Paul Tratz
Eduard Roschmann
Eduard Strauch
Eduard Weiter
Eggert Reeder
Egon Zill
Emanuel Schafer
Emil Augsburg
Emil Maurice
Emil Mazuw
Emil Sembach
Enno Lolling
Erhard Brauny
Erhard Heiden
Erhard Kroeger
Eric Muhsfeldt
Erich Deppner
Erich Ehrlinger
Erich Fuchs
Erich Georg Heinrich Isselhorst
Erich Kempka
Erich Lachmann
Erich Mix
Erich Naumann
Erich Neumann
Erich Priebke
Erich Steidtmann
Erich von dem Bach-Zelewski
Erich von der Heyde
Ernst August Rode
Ernst Barkmann
Ernst Biberstein
Ernst Boepple
Ernst Damzog
Ernst Hartmann
Ernst Heinrich Freiherr von Weizsäcker
Ernst Hermann Himmler
Ernst Kaltenbrunner
Ernst Knorr
Ernst Lerch
Ernst Misselwitz
Ernst Otto Fick
Ernst Wilhelm Bohle
Ernst Woermann
Ernst Zierke
Ernst-Robert Grawitz
Erwin Rösener
Erwin Schulz
Eugen Dollmann
Eugène Vaulot
Ewald Lindloff
Felix Steiner
Ferdinand Brandner
Ferdinand Porsche
Ferdinand von Sammern-Frankenegg
Frank Hermes
Franz Abromeit
Franz Augsberger
Franz Breithaupt
Franz Bürkl
Franz Goering
Franz Hayler
Franz Hoessler
Franz Josef Huber
Franz Joseph
Franz Karl Reichleitner
Franz Konrad
Franz Kutschera
Franz Maierhofer
Franz Rademacher
Franz Schädle
Franz Schönhuber
Franz Six
Franz Sprinz
Franz Stangl
Franz Suchomel
Franz Viktor Eirenschmalz
Franz Xaver Schwarz
Fridolin Glass
Friedrich Alpers
Friedrich August Enkelstroth
Friedrich Boßhammer
Friedrich Carl Ferdinand Viermann
Friedrich Franz
Friedrich Hildebrandt
Friedrich Jeckeln
Friedrich Meyerhoff
Friedrich Panzinger
Friedrich Peter
Friedrich Uebelhoer
Friedrich Weber
Friedrich Wolffhardt
Friedrich-Wilhelm Bock
Friedrich-Wilhelm Krüger
Fritz Arlt
Fritz Darges
Fritz Dietrich
Fritz Hartjenstein
Fritz Henke
Fritz Hippler
Fritz Katzmann
Fritz Kranefuss
Fritz Ritterbusch
Fritz Sauckel
Fritz Tittmann
Fritz Weitzel
Fritz Witt
Fritz Wächtler
Fritz von Scholz
Gebhard Ludwig Himmler
Georg Heuser
Georg Betz
Georg Güßregen
Georg Heidorn
Georg Huber
Georg Keppler
Georg Konrad Morgen
Georg Kruger
Georg Lörner
Georg Ritter von Hengl
Georg Schallermair
Georg Simon Michaelson
Georg Wilhelm Müller
George Kettmann
Gerhard Hirsch
Gerhard Klopfer
Gerhard Kurt Maywald
Gerhard Markus Schneider
Gerhard Putsch
Gottfried Graf von Bismarck-Schönhausen
Gottfried Meir
Gottlieb Hering
Gottlob Berger
Gunter d'Alquen
Gustav Abb
Gustav Adolf Nosske
Gustav Adolf Scheel
Gustav Adolf Wiemann
Gustav Adolf von Wulffen
Gustav Franz Wagner
Gustav Lombard
Gustav Münzberger
Gustav Sorge
Günther Pancke
Günther Schwägermann
Günther Tamaschke
Hanns Albin Rauter
Hanns-Martin Schleyer
Hans Aumeier
Hans Baur
Hans Carl Christian Blumenthal
Hans Christoph Baier
Hans Collani
Hans Fischböck
Hans Fleischhacker
Hans Frank
Hans Friedemann Götze
Hans Gaier
Hans Günther
Hans Haltermann
Hans Hermann Junge
Hans Hinkel
Hans Hüttig
Hans Josef Kieffer
Hans Jüttner
Hans Kammler
Hans Kehrl
Hans Kraus
Hans Kruger
Hans Lammers
Hans Latza
Hans Loritz
Hans Nieland
Hans Plesch
Hans Reisser
Hans Sommer 
Hans Stark
Hans Stern
Hans Tidow
Hans Walter Zech-Nenntwich
Hans Woellke
Hans-Adolf Prützmann
Hans-Georg Mayer
Hans-Georg von Charpentier
Harald Franz Wiesmann
Harald Nugiseks
Harald Riipalu
Harold Cole
Hartmann Lauterbacher
Heinrich Andergassen
Heinrich Eicke
Heinrich Fehlis
Heinrich Freiherr von Stackelberg
Heinrich Hamann
Heinrich Harrer
Heinrich Heering
Heinrich Heim
Heinrich Heinz Georg Alfred Detmers
Heinrich Himmler
Heinrich Müller
Heinrich Petersen
Heinrich Schwarz
Heinrich Seetzen
Heinz Auerswald
Heinz Barth
Heinz Drescher
Heinz Felfe
Heinz Jost
Heinz Karl Fanslau
Heinz Kessler
Heinz Linge
Heinz Linke
Heinz Macher
Heinz Müller
Heinz Reinefarth
Heinz Roch
Heinz Schildt
Heinz Schubert
Heinz Tensfeld
Heinz Zeuner
Helmut Bischoff
Helmut Kämpfe
Helmut Merz
Helmuth Friedrichs
Hendrik Seyffardt
Henk Feldmeijer
Henri Joseph Fenet
Henri Lafont
Herbert Backe
Herbert Böttcher
Herbert Frederic Böttcher
Herbert Junk
Herbert Kappler
Herbert Klaus Wölk
Herbert Otto Gille
Herbert Richard Golz
Herbert Scherpe
Herbert Schmidt
Herbert Walther
Herbert Wenzel
Hermann Erich Bauer
Hermann Fegelein
Hermann Florstedt
Hermann Harm
Hermann Höfle
Hermann Maringgele
Hermann Michel
Hermann Muhs
Hermann Otto Bundtke
Hermann Paul Maximilian Abendroth
Hermann Pook
Hermann Prieß
Hermann Schaper
Hermann Weiser
Hilmar Wäckerle
Hinrich Schuldt
Horst Klein
Horst Kopkow
Hubert Gomerski
Hubert Klausner
Hugo Jury
Hugo Kraas
Hugo von Abercron
Humbert Achamer-Pifrader
Hyacinth Graf Strachwitz von Groß-Zauche und Camminetz
Ilya Shavykin
Jakob Grimminger
Jakob Sporrenberg
Joachim Albrecht Eggeling
Joachim Boosfeld
Joachim Hamann
Joachim Karl Paul Nikolaus Deumling
Joachim Peiper
Joachim Rumohr
Joachim von Ribbentrop
Johann Friedrich Stöver
Johann Kantschuster
Johann Klier
Johann Miesel
Johann Niemann
Johann Pauls
Johann Rattenhuber
Johann Schwarzhuber
Johann von Leers
Johannes Alfred BÖHM
Johannes Claus Schmidt
Johannes Georg Hans Lörner
Johannes Karl Bernhard Bobermin
Johannes König
Johannes Max Clemens
Johannes Mittag
Johannes Wilhelm Hoffmann
Josef Albert Meisinger
Josef Altstötter
Josef Bühler
Josef Bürckel
Josef Fitzthum
Josef Hirtreiter
Josef Hugo Dischner
Josef Kramer
Josef Leitgeb
Josef Oberhauser
Josef Pospichil
Josef Purke
Josef Rademacher
Josef Riegler
Josef Schillinger
Josef Spacil
Joseph Berchtold
Joseph Darnand
Joseph Tobias Schreieder
Jozef Kindel
Julian Scherner
Julius Benz
Julius Dettmann
Julius Schaub
Julius Schreck
Jürgen Stroop
Jürgen Wagner
Karl Arthur Zenner
Karl Brunner
Karl Bömelburg
Karl Chmielewski
Karl Diebitsch
Karl Eberhard Schöngarth
Karl Emil Wrobel
Karl Fiehler
Karl Freiherr Michel von Tüßling
Karl Frenzel
Karl Fritzsch
Karl Gebhardt
Karl Gesele
Karl Gutenberger
Karl Hanke
Karl Hass
Karl Heinrich Klaustermeyer
Karl Heinz Hennemann
Karl Hermann Frank
Karl Höfer
Karl Julian Sommer
Karl Jäger
Karl Kloskowski
Karl Lamm
Karl Maria Wiligut
Karl Otto von Salisch
Karl Peter Berg
Karl Pfeffer-Wildenbruch
Karl Pflaumer
Karl Pflomm
Karl Rabe
Karl Raddatz
Karl Rahm
Karl Rasche
Karl Schäfer
Karl Silberbauer
Karl Streibel
Karl Wilhelm Albert
Karl Wilhelm Franz Klünner
Karl Wilhelm Krause
Karl Wolff
Karl von Eberstein
Karl-Friedrich Höcker
Karl-Gustav Sauberzweig
Karl-Heinrich Brenner
Karl-Heinz Bürger
Karl-Heinz Keitel
Karl-Maria Demelhuber
Karlis Ozols
Kinrad Fiebig
Klaus Barbie
Knud Børge Martinsen
Konrad Henlein
Konrad Meyer-Hetling
Konrad Schellong
Konstantin von Neurath
Kort Paul Hans Bläse
